trial,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps
1,register-100tx,100,0,18.9,1.64,0.02,0.3,18.7
1,register-500tx,500,0,129.6,1.63,0.02,0.09,128.9
1,register-1000tx,1000,0,245.0,1.63,0.02,0.07,243.7
1,verifyproof-100tx,100,0,22.5,1.63,0.02,0.24,22.4
1,verifyproof-500tx,500,0,126.9,1.65,0.02,0.08,126.3
1,verifyproof-1000tx,1000,0,226.9,1.65,0.02,0.1,225.8
1,revoke-100tx,100,0,21.0,1.65,0.03,0.24,20.8
1,revoke-500tx,500,0,126.7,1.64,0.02,0.08,126.1
1,revoke-1000tx,1000,0,230.5,1.64,0.02,0.08,229.4
1,updatecred-100tx,100,0,22.2,1.63,0.02,0.25,22.0
1,updatecred-500tx,500,0,125.5,1.64,0.02,0.08,125.0
1,updatecred-1000tx,1000,0,224.8,1.66,0.02,0.08,223.7
1,recordexists-100tx,100,0,114.9,0.02,0.0,0.01,114.5
1,recordexists-500tx,500,0,461.3,0.02,0.0,0.01,460.4
1,recordexists-1000tx,1000,0,734.2,0.02,0.0,0.01,733.1
2,register-100tx,100,0,21.0,1.64,0.03,0.25,20.9
2,register-500tx,500,0,130.8,1.65,0.02,0.09,130.1
2,register-1000tx,1000,0,224.8,1.64,0.03,0.09,223.0
2,verifyproof-100tx,100,0,18.4,1.64,0.01,0.29,18.4
2,verifyproof-500tx,500,0,129.0,1.66,0.02,0.08,128.2
2,verifyproof-1000tx,1000,0,222.4,1.65,0.02,0.08,221.4
2,revoke-100tx,100,0,21.7,1.63,0.02,0.23,21.6
2,revoke-500tx,500,0,139.0,1.63,0.02,0.08,138.3
2,revoke-1000tx,1000,0,251.1,1.63,0.02,0.07,249.8
2,updatecred-100tx,100,0,21.7,1.63,0.02,0.22,21.6
2,updatecred-500tx,500,0,129.9,1.63,0.02,0.08,129.2
2,updatecred-1000tx,1000,0,226.1,1.65,0.02,0.09,225.1
2,recordexists-100tx,100,0,112.1,0.02,0.0,0.01,111.7
2,recordexists-500tx,500,0,465.1,0.03,0.0,0.01,464.3
2,recordexists-1000tx,1000,0,733.1,0.03,0.0,0.01,732.1
3,register-100tx,100,0,19.8,1.66,0.03,0.27,19.7
3,register-500tx,500,0,137.1,1.64,0.02,0.09,136.4
3,register-1000tx,1000,0,222.6,1.63,0.02,0.1,221.4
3,verifyproof-100tx,100,0,24.4,1.63,0.02,0.21,24.2
3,verifyproof-500tx,500,0,135.6,1.63,0.02,0.08,134.9
3,verifyproof-1000tx,1000,0,225.4,1.64,0.02,0.09,224.2
3,revoke-100tx,100,0,20.3,1.63,0.02,0.25,20.2
3,revoke-500tx,500,0,132.4,1.64,0.02,0.08,131.7
3,revoke-1000tx,1000,0,233.2,1.63,0.03,0.1,231.4
3,updatecred-100tx,100,0,20.9,1.63,0.02,0.24,20.8
3,updatecred-500tx,500,0,130.4,1.64,0.02,0.08,129.9
3,updatecred-1000tx,1000,0,226.7,1.63,0.02,0.09,225.6
3,recordexists-100tx,100,0,113.4,0.02,0.0,0.01,113.0
3,recordexists-500tx,500,0,452.5,0.02,0.0,0.01,451.7
3,recordexists-1000tx,1000,0,740.7,0.02,0.0,0.01,738.6
4,register-100tx,100,0,20.6,1.64,0.02,0.25,20.5
4,register-500tx,500,0,130.3,1.64,0.02,0.09,129.6
4,register-1000tx,1000,0,223.8,1.64,0.03,0.1,222.4
4,verifyproof-100tx,100,0,20.1,1.65,0.02,0.28,20.1
4,verifyproof-500tx,500,0,131.4,1.63,0.02,0.08,130.8
4,verifyproof-1000tx,1000,0,232.0,1.63,0.02,0.09,231.1
4,revoke-100tx,100,0,15.0,2.04,0.02,0.43,11.5
4,revoke-500tx,500,0,133.2,1.64,0.02,0.08,132.6
4,revoke-1000tx,1000,0,220.8,1.64,0.03,0.08,219.4
4,updatecred-100tx,100,0,18.2,1.65,0.03,0.31,18.1
4,updatecred-500tx,500,0,128.6,1.65,0.02,0.08,128.0
4,updatecred-1000tx,1000,0,231.2,1.65,0.03,0.1,229.2
4,recordexists-100tx,100,0,114.7,0.02,0.0,0.01,114.4
4,recordexists-500tx,500,0,427.4,0.02,0.0,0.01,425.9
4,recordexists-1000tx,1000,0,700.3,0.04,0.0,0.01,698.8
5,register-100tx,100,0,13.0,2.04,0.03,0.45,10.3
5,register-500tx,500,0,132.4,1.64,0.03,0.1,131.4
5,register-1000tx,1000,0,221.3,1.64,0.02,0.08,219.5
5,verifyproof-100tx,100,0,20.2,1.64,0.02,0.26,20.1
5,verifyproof-500tx,500,0,134.6,1.63,0.02,0.08,134.0
5,verifyproof-1000tx,1000,0,227.0,1.63,0.02,0.09,225.9
5,revoke-100tx,100,0,21.7,1.64,0.02,0.24,21.6
5,revoke-500tx,500,0,134.2,1.64,0.02,0.08,133.5
5,revoke-1000tx,1000,0,226.9,1.65,0.02,0.09,225.8
5,updatecred-100tx,100,0,17.5,1.64,0.02,0.31,17.4
5,updatecred-500tx,500,0,126.3,1.63,0.02,0.08,125.7
5,updatecred-1000tx,1000,0,229.5,1.63,0.02,0.09,228.1
5,recordexists-100tx,100,0,115.1,0.02,0.0,0.01,114.7
5,recordexists-500tx,500,0,471.7,0.02,0.0,0.01,470.8
5,recordexists-1000tx,1000,0,772.2,0.03,0.0,0.01,770.4
6,register-100tx,100,0,20.3,1.65,0.03,0.26,20.2
6,register-500tx,500,0,130.8,1.64,0.03,0.11,129.6
6,register-1000tx,1000,0,196.5,1.63,0.02,0.11,195.5
6,verifyproof-100tx,100,0,20.9,1.64,0.02,0.26,20.8
6,verifyproof-500tx,500,0,138.2,1.64,0.02,0.09,137.3
6,verifyproof-1000tx,1000,0,206.7,1.64,0.03,0.09,205.3
6,revoke-100tx,100,0,20.3,1.64,0.03,0.27,20.2
6,revoke-500tx,500,0,134.1,1.64,0.03,0.1,132.9
6,revoke-1000tx,1000,0,203.7,1.64,0.03,0.09,202.7
6,updatecred-100tx,100,0,21.6,1.64,0.02,0.27,21.5
6,updatecred-500tx,500,0,134.2,1.63,0.02,0.09,133.4
6,updatecred-1000tx,1000,0,197.5,1.66,0.02,0.09,196.7
6,recordexists-100tx,100,0,111.1,0.02,0.0,0.01,110.7
6,recordexists-500tx,500,0,426.3,0.02,0.0,0.01,425.5
6,recordexists-1000tx,1000,0,658.3,0.03,0.0,0.01,657.0
7,register-100tx,100,0,20.7,1.63,0.02,0.26,20.6
7,register-500tx,500,0,130.2,1.64,0.02,0.09,129.5
7,register-1000tx,1000,0,204.3,1.63,0.02,0.08,203.3
7,verifyproof-100tx,100,0,20.1,1.64,0.02,0.25,20.0
7,verifyproof-500tx,500,0,128.5,1.63,0.02,0.08,127.9
7,verifyproof-1000tx,1000,0,213.2,1.63,0.02,0.08,212.1
7,revoke-100tx,100,0,21.6,1.65,0.02,0.22,21.5
7,revoke-500tx,500,0,121.3,1.65,0.02,0.1,120.7
7,revoke-1000tx,1000,0,212.2,1.64,0.02,0.09,211.1
7,updatecred-100tx,100,0,21.0,1.63,0.02,0.23,20.9
7,updatecred-500tx,500,0,137.7,1.63,0.02,0.09,137.0
7,updatecred-1000tx,1000,0,219.9,1.63,0.02,0.1,218.6
7,recordexists-100tx,100,0,113.9,0.01,0.0,0.0,113.5
7,recordexists-500tx,500,0,444.0,0.02,0.0,0.01,443.3
7,recordexists-1000tx,1000,0,687.3,0.03,0.0,0.01,685.9
8,register-100tx,100,0,21.5,1.64,0.02,0.23,21.4
8,register-500tx,500,0,132.2,1.63,0.02,0.1,131.4
8,register-1000tx,1000,0,207.2,1.63,0.02,0.09,206.2
8,verifyproof-100tx,100,0,21.8,1.63,0.02,0.24,21.7
8,verifyproof-500tx,500,0,135.8,1.63,0.02,0.08,135.0
8,verifyproof-1000tx,1000,0,225.6,1.63,0.02,0.08,224.7
8,revoke-100tx,100,0,21.4,1.63,0.02,0.23,21.2
8,revoke-500tx,500,0,131.2,1.64,0.02,0.08,130.5
8,revoke-1000tx,1000,0,220.4,1.64,0.02,0.09,219.3
8,updatecred-100tx,100,0,20.5,1.63,0.02,0.26,20.4
8,updatecred-500tx,500,0,131.8,1.63,0.02,0.08,131.1
8,updatecred-1000tx,1000,0,226.6,1.63,0.02,0.1,225.2
8,recordexists-100tx,100,0,113.5,0.01,0.0,0.01,113.1
8,recordexists-500tx,500,0,442.1,0.01,0.0,0.01,440.9
8,recordexists-1000tx,1000,0,677.5,0.04,0.0,0.01,676.1
9,register-100tx,100,0,20.7,1.64,0.02,0.24,20.6
9,register-500tx,500,0,135.9,1.63,0.02,0.09,135.1
9,register-1000tx,1000,0,201.0,1.64,0.03,0.09,200.0
9,verifyproof-100tx,100,0,21.3,1.63,0.02,0.24,21.2
9,verifyproof-500tx,500,0,122.1,1.63,0.02,0.09,121.5
9,verifyproof-1000tx,1000,0,215.2,1.65,0.02,0.09,214.3
9,revoke-100tx,100,0,19.4,1.63,0.02,0.28,19.3
9,revoke-500tx,500,0,129.6,1.63,0.02,0.09,129.0
9,revoke-1000tx,1000,0,209.6,1.63,0.02,0.08,208.5
9,updatecred-100tx,100,0,20.2,1.64,0.02,0.26,20.1
9,updatecred-500tx,500,0,139.2,1.63,0.02,0.09,138.5
9,updatecred-1000tx,1000,0,212.4,1.65,0.02,0.1,211.4
9,recordexists-100tx,100,0,113.5,0.03,0.0,0.01,113.1
9,recordexists-500tx,500,0,446.8,0.02,0.0,0.01,445.6
9,recordexists-1000tx,1000,0,675.2,0.04,0.0,0.01,673.9
10,register-100tx,100,0,20.6,1.64,0.02,0.25,20.5
10,register-500tx,500,0,132.1,1.63,0.02,0.1,131.3
10,register-1000tx,1000,0,217.5,1.63,0.02,0.08,216.5
10,verifyproof-100tx,100,0,12.6,2.03,0.03,0.39,11.8
10,verifyproof-500tx,500,0,134.7,1.64,0.02,0.08,134.0
10,verifyproof-1000tx,1000,0,228.2,1.63,0.02,0.08,227.1
10,revoke-100tx,100,0,21.0,1.64,0.02,0.27,20.8
10,revoke-500tx,500,0,133.9,1.63,0.02,0.09,133.0
10,revoke-1000tx,1000,0,215.7,1.65,0.02,0.09,214.6
10,updatecred-100tx,100,0,20.1,1.63,0.02,0.27,20.0
10,updatecred-500tx,500,0,139.5,1.63,0.02,0.09,138.7
10,updatecred-1000tx,1000,0,233.2,1.63,0.02,0.08,232.0
10,recordexists-100tx,100,0,111.5,0.01,0.0,0.01,111.1
10,recordexists-500tx,500,0,442.9,0.03,0.0,0.01,442.1
10,recordexists-1000tx,1000,0,658.8,0.04,0.0,0.01,657.9
