trial,name,succ,fail,send_rate_tps,throughput_tps,avg_latency_ms_report,avg_latency_ms_txlog,p50_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,source_log
1,register-100tx,100,0,21.6,21.4,290.0,291.11,191,844,1649,30,1650,caliper-operations-txlog-trial-1.log
1,register-500tx,500,0,101.7,101.0,140.0,142.284,121,193,870,31,1646,caliper-operations-txlog-trial-1.log
1,register-1000tx,1000,0,138.5,137.5,130.0,130.196,107,243,359,33,1678,caliper-operations-txlog-trial-1.log
1,verifyproof-100tx,100,0,20.2,20.0,270.0,270.35,93,904,1641,28,1718,caliper-operations-txlog-trial-1.log
1,verifyproof-500tx,500,0,107.6,107.0,130.0,129.812,100,216,841,29,1681,caliper-operations-txlog-trial-1.log
1,verifyproof-1000tx,1000,0,153.4,152.7,140.0,139.576,114,313,426,31,1654,caliper-operations-txlog-trial-1.log
1,revoke-100tx,100,0,21.1,21.0,280.0,283.29,91,847,1654,32,1663,caliper-operations-txlog-trial-1.log
1,revoke-500tx,500,0,108.4,107.6,130.0,134.574,106,220,870,31,1652,caliper-operations-txlog-trial-1.log
1,revoke-1000tx,1000,0,151.2,150.5,120.0,122.097,101,224,337,31,1665,caliper-operations-txlog-trial-1.log
1,updatecred-100tx,100,0,19.3,19.1,280.0,282.94,78,847,1642,32,1656,caliper-operations-txlog-trial-1.log
1,updatecred-500tx,500,0,105.5,104.7,120.0,122.262,98,181,859,29,1662,caliper-operations-txlog-trial-1.log
1,updatecred-1000tx,1000,0,151.8,151.0,120.0,118.066,97,202,387,33,1668,caliper-operations-txlog-trial-1.log
1,recordexists-100tx,100,0,104.4,103.7,10.0,6.72,6,12,14,3,18,caliper-operations-txlog-trial-1.log
1,recordexists-500tx,500,0,355.9,354.6,10.0,7.908,6,18,30,2,54,caliper-operations-txlog-trial-1.log
1,recordexists-1000tx,1000,0,496.3,495.0,10.0,8.661,7,16,26,2,52,caliper-operations-txlog-trial-1.log
2,register-100tx,100,0,21.0,20.8,310.0,307.35,146,857,1666,34,1676,caliper-operations-txlog-trial-2.log
2,register-500tx,500,0,103.0,102.4,140.0,144.948,120,205,877,31,1667,caliper-operations-txlog-trial-2.log
2,register-1000tx,1000,0,152.0,151.3,120.0,117.522,104,183,222,28,1637,caliper-operations-txlog-trial-2.log
2,verifyproof-100tx,100,0,20.8,20.6,250.0,251.28,83,896,1634,27,1651,caliper-operations-txlog-trial-2.log
2,verifyproof-500tx,500,0,103.4,102.6,130.0,129.594,100,212,887,33,1671,caliper-operations-txlog-trial-2.log
2,verifyproof-1000tx,1000,0,165.4,164.6,110.0,112.586,94,186,476,29,1653,caliper-operations-txlog-trial-2.log
2,revoke-100tx,100,0,17.1,16.9,370.0,368.48,98,898,1637,29,1640,caliper-operations-txlog-trial-2.log
2,revoke-500tx,500,0,112.0,111.3,110.0,107.118,83,139,895,31,1676,caliper-operations-txlog-trial-2.log
2,revoke-1000tx,1000,0,166.1,165.3,110.0,112.173,99,160,219,25,1646,caliper-operations-txlog-trial-2.log
2,updatecred-100tx,100,0,20.5,20.3,260.0,259.73,75,908,1656,29,1657,caliper-operations-txlog-trial-2.log
2,updatecred-500tx,500,0,122.8,121.8,120.0,115.808,88,183,841,32,1675,caliper-operations-txlog-trial-2.log
2,updatecred-1000tx,1000,0,166.3,164.6,110.0,110.791,95,173,236,37,1662,caliper-operations-txlog-trial-2.log
2,recordexists-100tx,100,0,107.9,107.5,10.0,7.57,6,14,21,2,22,caliper-operations-txlog-trial-2.log
2,recordexists-500tx,500,0,369.5,368.7,10.0,6.82,5,16,28,2,47,caliper-operations-txlog-trial-2.log
2,recordexists-1000tx,1000,0,558.3,557.1,10.0,9.735,6,36,53,2,69,caliper-operations-txlog-trial-2.log
3,register-100tx,100,0,19.8,19.6,290.0,287.82,87,943,1670,37,1670,caliper-operations-txlog-trial-3.log
3,register-500tx,500,0,109.7,109.1,120.0,122.636,96,178,886,24,1668,caliper-operations-txlog-trial-3.log
3,register-1000tx,1000,0,155.5,155.1,110.0,112.235,96,171,278,20,1676,caliper-operations-txlog-trial-3.log
3,verifyproof-100tx,100,0,20.4,20.2,270.0,266.71,70,892,1660,23,1665,caliper-operations-txlog-trial-3.log
3,verifyproof-500tx,500,0,115.3,114.6,120.0,119.462,93,164,869,27,1665,caliper-operations-txlog-trial-3.log
3,verifyproof-1000tx,1000,0,167.4,166.8,110.0,105.896,88,174,263,24,1654,caliper-operations-txlog-trial-3.log
3,revoke-100tx,100,0,17.1,16.9,340.0,344.59,80,1151,1660,27,1669,caliper-operations-txlog-trial-3.log
3,revoke-500tx,500,0,115.7,115.0,120.0,116.522,91,159,866,23,1674,caliper-operations-txlog-trial-3.log
3,revoke-1000tx,1000,0,161.1,160.4,110.0,107.284,89,172,312,24,1663,caliper-operations-txlog-trial-3.log
3,updatecred-100tx,100,0,19.9,19.7,260.0,263.97,71,905,1644,25,1644,caliper-operations-txlog-trial-3.log
3,updatecred-500tx,500,0,116.7,116.0,110.0,108.694,82,156,886,24,1658,caliper-operations-txlog-trial-3.log
3,updatecred-1000tx,1000,0,187.0,186.1,100.0,98.719,84,151,226,25,1704,caliper-operations-txlog-trial-3.log
3,recordexists-100tx,100,0,109.6,109.3,10.0,6.68,6,14,16,3,18,caliper-operations-txlog-trial-3.log
3,recordexists-500tx,500,0,373.1,372.3,10.0,6.54,5,16,21,2,27,caliper-operations-txlog-trial-3.log
3,recordexists-1000tx,1000,0,575.0,573.7,10.0,6.299,5,13,21,2,31,caliper-operations-txlog-trial-3.log
4,register-100tx,100,0,19.1,18.9,300.0,303,93,924,1668,42,1680,caliper-operations-txlog-trial-4.log
4,register-500tx,500,0,109.9,109.3,120.0,124.11,98,169,877,26,1657,caliper-operations-txlog-trial-4.log
4,register-1000tx,1000,0,157.0,156.3,110.0,111.934,92,183,255,26,1650,caliper-operations-txlog-trial-4.log
4,verifyproof-100tx,100,0,19.8,19.7,260.0,262.36,65,921,1652,28,1673,caliper-operations-txlog-trial-4.log
4,verifyproof-500tx,500,0,111.0,110.3,120.0,116.496,90,176,847,28,1660,caliper-operations-txlog-trial-4.log
4,verifyproof-1000tx,1000,0,166.0,165.0,120.0,117.461,104,167,268,37,1650,caliper-operations-txlog-trial-4.log
4,revoke-100tx,100,0,20.5,20.4,250.0,248.87,68,897,1656,23,1662,caliper-operations-txlog-trial-4.log
4,revoke-500tx,500,0,115.7,114.9,120.0,118.12,95,168,857,27,1667,caliper-operations-txlog-trial-4.log
4,revoke-1000tx,1000,0,166.7,165.6,110.0,108.195,92,172,249,29,1675,caliper-operations-txlog-trial-4.log
4,updatecred-100tx,100,0,21.0,20.8,250.0,253.85,76,888,1632,26,1642,caliper-operations-txlog-trial-4.log
4,updatecred-500tx,500,0,113.9,113.3,110.0,113.526,90,157,910,25,1669,caliper-operations-txlog-trial-4.log
4,updatecred-1000tx,1000,0,165.3,164.7,110.0,114.83,96,186,308,23,1649,caliper-operations-txlog-trial-4.log
4,recordexists-100tx,100,0,107.6,107.3,10.0,6.99,5,14,31,3,32,caliper-operations-txlog-trial-4.log
4,recordexists-500tx,500,0,383.7,382.6,10.0,6.874,6,13,25,3,46,caliper-operations-txlog-trial-4.log
4,recordexists-1000tx,1000,0,563.7,562.1,10.0,6.9,5,15,31,2,43,caliper-operations-txlog-trial-4.log
5,register-100tx,100,0,19.7,19.6,290.0,289.75,81,901,1678,27,1697,caliper-operations-txlog-trial-5.log
5,register-500tx,500,0,110.0,109.4,130.0,126.218,102,166,861,25,1661,caliper-operations-txlog-trial-5.log
5,register-1000tx,1000,0,153.1,152.5,130.0,128.1,107,222,383,24,1660,caliper-operations-txlog-trial-5.log
5,verifyproof-100tx,100,0,20.3,20.0,260.0,263.33,67,895,1633,27,1652,caliper-operations-txlog-trial-5.log
5,verifyproof-500tx,500,0,111.8,110.9,110.0,110.994,82,161,870,29,1672,caliper-operations-txlog-trial-5.log
5,verifyproof-1000tx,1000,0,166.6,165.5,100.0,104.861,89,162,220,35,1652,caliper-operations-txlog-trial-5.log
5,revoke-100tx,100,0,24.4,24.1,230.0,228.58,70,823,1628,21,1633,caliper-operations-txlog-trial-5.log
5,revoke-500tx,500,0,109.6,109.0,110.0,108.024,79,172,877,26,1673,caliper-operations-txlog-trial-5.log
5,revoke-1000tx,1000,0,164.0,163.5,120.0,115.688,93,233,332,21,1658,caliper-operations-txlog-trial-5.log
5,updatecred-100tx,100,0,20.6,20.4,260.0,259.58,97,898,1659,32,1664,caliper-operations-txlog-trial-5.log
5,updatecred-500tx,500,0,111.9,111.2,110.0,112.552,86,157,860,29,1664,caliper-operations-txlog-trial-5.log
5,updatecred-1000tx,1000,0,169.4,168.7,120.0,121.245,105,200,302,26,1674,caliper-operations-txlog-trial-5.log
5,recordexists-100tx,100,0,108.0,107.6,10.0,8.17,6,20,25,2,25,caliper-operations-txlog-trial-5.log
5,recordexists-500tx,500,0,383.1,382.3,10.0,6.618,5,15,19,2,42,caliper-operations-txlog-trial-5.log
5,recordexists-1000tx,1000,0,552.8,551.9,10.0,7.05,6,15,26,3,38,caliper-operations-txlog-trial-5.log
6,register-100tx,100,0,20.5,20.4,270.0,265.57,92,925,1660,28,1663,caliper-operations-txlog-trial-6.log
6,register-500tx,500,0,109.7,109.1,130.0,126.016,103,173,871,26,1651,caliper-operations-txlog-trial-6.log
6,register-1000tx,1000,0,155.0,154.2,110.0,111.933,97,169,237,31,1665,caliper-operations-txlog-trial-6.log
6,verifyproof-100tx,100,0,19.2,19.1,290.0,288.85,90,905,1638,29,1653,caliper-operations-txlog-trial-6.log
6,verifyproof-500tx,500,0,105.9,105.4,120.0,117.064,88,165,862,23,1668,caliper-operations-txlog-trial-6.log
6,verifyproof-1000tx,1000,0,164.8,164.1,110.0,111.711,95,175,257,27,1657,caliper-operations-txlog-trial-6.log
6,revoke-100tx,100,0,21.1,20.9,240.0,236.29,67,921,1647,24,1651,caliper-operations-txlog-trial-6.log
6,revoke-500tx,500,0,110.9,110.3,110.0,109.776,85,154,887,23,1656,caliper-operations-txlog-trial-6.log
6,revoke-1000tx,1000,0,168.9,168.2,120.0,119.534,98,242,341,25,1684,caliper-operations-txlog-trial-6.log
6,updatecred-100tx,100,0,20.1,20.0,260.0,260.72,72,924,1661,35,1664,caliper-operations-txlog-trial-6.log
6,updatecred-500tx,500,0,116.4,115.2,120.0,115.92,86,172,855,35,1647,caliper-operations-txlog-trial-6.log
6,updatecred-1000tx,1000,0,164.6,163.6,120.0,117.367,99,195,325,33,1667,caliper-operations-txlog-trial-6.log
6,recordexists-100tx,100,0,108.0,107.6,10.0,7.71,6,20,23,2,25,caliper-operations-txlog-trial-6.log
6,recordexists-500tx,500,0,392.8,392.2,10.0,6.294,5,15,21,2,36,caliper-operations-txlog-trial-6.log
6,recordexists-1000tx,1000,0,563.4,562.7,10.0,6.921,5,17,24,2,54,caliper-operations-txlog-trial-6.log
7,register-100tx,100,0,19.4,19.2,300.0,303.72,100,942,1663,35,1673,caliper-operations-txlog-trial-7.log
7,register-500tx,500,0,108.4,107.7,130.0,127.08,102,171,893,28,1673,caliper-operations-txlog-trial-7.log
7,register-1000tx,1000,0,153.3,152.6,120.0,115.661,99,179,254,26,1651,caliper-operations-txlog-trial-7.log
7,verifyproof-100tx,100,0,20.6,20.4,280.0,281.34,76,905,1660,32,1693,caliper-operations-txlog-trial-7.log
7,verifyproof-500tx,500,0,115.2,114.4,120.0,116.814,92,155,888,29,1657,caliper-operations-txlog-trial-7.log
