operation,load_tx,trials,success_total,fail_total,throughput_tps_mean_no_txlog,throughput_tps_sd_no_txlog,avg_latency_ms_mean_no_txlog,avg_latency_ms_sd_no_txlog,p50_latency_ms_mean_txlog,p50_latency_ms_sd_txlog,p95_latency_ms_mean_txlog,p95_latency_ms_sd_txlog,p99_latency_ms_mean_txlog,p99_latency_ms_sd_txlog,avg_latency_ms_mean_txlog,avg_latency_ms_sd_txlog,source_round,tps_avg_latency_source,percentile_source,include_in_locked_write_template,instrumentation_note
Register,100,10,1000,0,19.34,3.26,276,64,110.20,34.06,901.90,42.14,1664.80,14.93,291.82,14.87,register-100tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
Register,500,10,5000,0,131.33,2.51,95,7,107.10,13.26,184.20,19.99,879.80,12.44,131.96,12.02,register-500tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
Register,1000,10,10000,0,215.15,14.24,89,12,103.30,8.30,195.30,26.62,288.90,58.40,120.71,9.22,register-1000tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
VerifyProof,100,10,1000,0,20.07,3.30,266,49,78.30,9.67,897.70,20.25,1648.70,11.20,266.78,15.71,verifyproof-100tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
VerifyProof,500,10,5000,0,130.99,4.93,82,4,93.30,11.36,178.80,30.33,868.40,16.36,120.94,11.96,verifyproof-500tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
VerifyProof,1000,10,10000,0,221.19,8.03,87,7,98.30,10.04,194.80,55.31,312.20,102.26,116.37,14.07,verifyproof-1000tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
Revoke,100,10,1000,0,19.87,3.03,266,61,77.60,10.21,916.60,88.21,1649.80,11.64,280.69,44.79,revoke-100tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
Revoke,500,10,5000,0,130.83,4.76,86,8,91.60,8.95,175.30,29.85,869.90,15.37,118.43,10.81,revoke-500tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
Revoke,1000,10,10000,0,221.20,13.61,86,8,97.30,7.85,197.90,34.33,285.10,49.69,115.57,9.40,revoke-1000tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
UpdateCred,100,10,1000,0,20.28,1.49,262,30,79.40,11.21,931.10,106.74,1651.50,9.46,279.60,28.77,updatecred-100tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
UpdateCred,500,10,5000,0,131.65,5.06,84,5,89.10,6.77,165.80,15.21,869.70,19.61,115.15,6.77,updatecred-500tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
UpdateCred,1000,10,10000,0,221.56,10.47,92,8,97.80,9.20,184.80,21.49,289.70,62.22,115.22,9.71,updatecred-1000tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,yes,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
RecordExists,100,10,1000,0,112.98,1.41,9,3,6.00,0.47,16.10,2.73,22.70,5.87,7.56,0.58,recordexists-100tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,no,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
RecordExists,500,10,5000,0,447.05,15.10,10,0,5.60,0.70,15.80,2.62,24.80,4.61,7.03,0.76,recordexists-500tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,no,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
RecordExists,1000,10,10000,0,702.38,38.86,10,0,5.70,0.82,20.80,9.98,34.90,17.21,7.92,1.41,recordexists-1000tx,caliper-operations-repeated-summary.csv / blockchain_tps_sheet03_import.csv,../scapezk-caliper-txlog-rerun-2026-04-27/caliper-operations-txlog-percentiles-summary.csv,no,TPS and average latency use no-txlog Caliper run; p50/p95/p99 use txlog-instrumented rerun.
