name,trials,succ_mean,succ_sd,fail_mean,fail_sd,send_rate_tps_mean,send_rate_tps_sd,throughput_tps_mean,throughput_tps_sd,avg_latency_ms_report_mean,avg_latency_ms_report_sd,avg_latency_ms_txlog_mean,avg_latency_ms_txlog_sd,p50_latency_ms_mean,p50_latency_ms_sd,p95_latency_ms_mean,p95_latency_ms_sd,p99_latency_ms_mean,p99_latency_ms_sd,min_latency_ms_mean,min_latency_ms_sd,max_latency_ms_mean,max_latency_ms_sd
register-100tx,10,100.0,0.0,0.0,0.0,20.32,0.945,20.15,0.931,292.0,13.166,291.821,14.865,110.2,34.058,901.9,42.144,1664.8,14.928,31.2,5.827,1673.6,15.196
register-500tx,10,500.0,0.0,0.0,0.0,106.99,3.923,106.31,3.945,132.0,12.293,131.959,12.022,107.1,13.262,184.2,19.993,879.8,12.444,29.0,4.738,1661.3,8.616
register-1000tx,10,1000.0,0.0,0.0,0.0,151.37,8.461,150.68,8.439,121.0,9.944,120.707,9.224,103.3,8.301,195.3,26.621,288.9,58.402,26.8,4.264,1661.1,13.0
verifyproof-100tx,10,100.0,0.0,0.0,0.0,20.55,1.311,20.36,1.259,266.0,17.127,266.781,15.709,78.3,9.673,897.7,20.249,1648.7,11.196,29.7,3.945,1670.4,21.716
verifyproof-500tx,10,500.0,0.0,0.0,0.0,109.56,6.02,108.83,5.946,122.0,12.293,120.945,11.958,93.3,11.363,178.8,30.327,868.4,16.365,29.3,2.946,1669.1,7.125
verifyproof-1000tx,10,1000.0,0.0,0.0,0.0,162.89,7.729,161.99,7.574,116.0,13.499,116.374,14.073,98.3,10.045,194.8,55.309,312.2,102.26,30.9,4.841,1659.9,9.837
revoke-100tx,10,100.0,0.0,0.0,0.0,20.2,2.091,20.03,2.077,281.0,43.83,280.686,44.786,77.6,10.211,916.6,88.213,1649.8,11.641,28.7,5.25,1662.9,21.429
revoke-500tx,10,500.0,0.0,0.0,0.0,110.97,5.46,110.28,5.447,120.0,9.428,118.427,10.814,91.6,8.947,175.3,29.852,869.9,15.373,27.1,3.872,1674.9,26.818
revoke-1000tx,10,1000.0,0.0,0.0,0.0,162.63,7.978,161.79,7.851,116.0,9.661,115.566,9.404,97.3,7.846,197.9,34.333,285.1,49.689,28.1,4.533,1663.3,12.148
updatecred-100tx,10,100.0,0.0,0.0,0.0,19.74,1.169,19.55,1.173,278.0,28.983,279.6,28.769,79.4,11.207,931.1,106.736,1651.5,9.455,30.9,3.665,1658.2,9.199
updatecred-500tx,10,500.0,0.0,0.0,0.0,113.85,4.961,113.01,4.871,115.0,7.071,115.147,6.767,89.1,6.773,165.8,15.208,869.7,19.608,28.1,3.635,1664.1,8.412
updatecred-1000tx,10,1000.0,0.0,0.0,0.0,165.2,10.869,164.27,10.916,115.0,10.801,115.221,9.708,97.8,9.199,184.8,21.488,289.7,62.218,29.5,5.968,1668.3,14.407
recordexists-100tx,10,100.0,0.0,0.0,0.0,107.15,2.015,106.76,2.091,10.0,0.0,7.56,0.578,6.0,0.471,16.1,2.726,22.7,5.87,2.3,0.483,25.9,6.839
recordexists-500tx,10,500.0,0.0,0.0,0.0,376.05,13.808,375.16,13.942,10.0,0.0,7.03,0.76,5.6,0.699,15.8,2.616,24.8,4.614,2.2,0.422,41.6,10.721
recordexists-1000tx,10,1000.0,0.0,0.0,0.0,554.5,29.478,553.46,29.633,10.0,0.0,7.918,1.41,5.7,0.823,20.8,9.976,34.9,17.208,2.1,0.316,58.1,26.652
