timestamp,circuit,metric,n,mean_ms,std_ms,median_ms,min_ms,max_ms
2026-04-17T12:45:54.512Z,multiplier,prove_fullprove,10,50.359,5.347,49.340,43.766,63.055
2026-04-17T12:45:54.512Z,multiplier,verify,10,11.436,1.138,11.708,9.816,13.405
2026-04-17T17:55:38.294Z,multiplier,prove_fullprove,10,47.733,3.668,47.168,42.328,52.598
2026-04-17T17:55:38.294Z,multiplier,verify,10,10.274,0.698,10.646,9.242,11.088
2026-04-17T18:17:33.695Z,multiplier,prove_fullprove,10,43.821,4.239,42.285,41.218,55.143
2026-04-17T18:17:33.695Z,multiplier,verify,10,9.707,0.422,9.641,9.190,10.495
2026-04-17T18:26:23.240Z,multiplier,prove_fullprove,50,51.510,6.502,50.181,43.030,70.288
2026-04-17T18:26:23.240Z,multiplier,verify,50,12.212,1.891,12.328,9.104,18.200
2026-04-19T04:49:11.168Z,session,prove_fullprove,20,546.692,47.985,536.508,497.776,670.957
2026-04-19T04:49:11.168Z,session,verify,20,14.691,2.573,14.397,10.859,19.894
2026-04-19T04:49:16.709Z,request,prove_fullprove,30,141.871,23.737,135.935,111.281,206.592
2026-04-19T04:49:16.709Z,request,verify,30,14.189,2.842,13.109,10.630,20.494
2026-04-19T04:55:20.387Z,session,prove_fullprove,20,477.723,22.057,472.648,446.858,530.062
2026-04-19T04:55:20.387Z,session,verify,20,11.829,1.446,12.237,9.266,14.079
2026-04-19T04:55:24.760Z,request,prove_fullprove,30,111.161,3.845,110.636,103.661,120.676
2026-04-19T04:55:24.760Z,request,verify,30,11.236,0.996,11.226,9.608,13.701
2026-04-19T05:51:43.565Z,session,prove_fullprove,20,512.623,34.029,505.445,465.909,573.669
2026-04-19T05:51:43.565Z,session,verify,20,12.807,3.133,12.471,9.757,23.211
2026-04-19T05:51:48.249Z,request,prove_fullprove,30,118.790,9.863,117.597,108.090,163.382
2026-04-19T05:51:48.249Z,request,verify,30,12.035,2.136,11.473,9.461,18.784
2026-04-19T05:54:20.328Z,session,prove_fullprove,30,544.247,31.145,543.474,487.666,603.580
2026-04-19T05:54:20.328Z,session,verify,30,14.365,1.803,14.537,10.324,17.916
2026-04-19T05:54:27.980Z,request,prove_fullprove,50,116.912,8.771,114.741,104.299,138.383
2026-04-19T05:54:27.980Z,request,verify,50,12.286,1.679,12.376,9.931,16.357
2026-04-19T06:00:52.330Z,session,prove_fullprove,5,516.700,36.919,508.820,476.710,562.569
2026-04-19T06:00:52.330Z,session,verify,5,14.726,5.190,13.937,10.891,23.621
2026-04-19T06:00:53.660Z,request,prove_fullprove,5,127.254,5.692,127.033,119.266,134.336
2026-04-19T06:00:53.660Z,request,verify,5,12.696,1.322,13.131,10.959,14.359
2026-04-19T06:03:26.963Z,session,prove_fullprove,20,502.791,23.393,495.525,470.936,563.675
2026-04-19T06:03:26.963Z,session,verify,20,12.137,2.190,12.110,9.335,16.898
2026-04-19T06:03:31.608Z,request,prove_fullprove,30,118.055,4.394,118.249,110.241,127.867
2026-04-19T06:03:31.608Z,request,verify,30,11.559,1.386,11.575,9.500,15.069
