n_requests,scheme,basis,proof_gen_formula,amortized_formula,encrypt_formula,proof_verify_formula,integrity_formula,proof_gen_ms,amortized_proof_ms,encrypt_ms,proof_verify_ms,integrity_delegation_ms,per_request_total_ms,batch_total_ms,source_file,source_filter_or_formula,notes
1,XAuth [6],primitive_calibrated_estimator,T_zk^g(|C_id|),T_zk^g(|C_id|),--,T_zk^v,T_merk + T_hash,125.71985714285715,125.71985714285715,0.0,12.470571428571429,0.014329131475005853,138.20475770290358,138.20475770290358,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=T_zk^g(|C_id|); encrypt=--; proof_verify=T_zk^v; integrity=T_merk + T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
1,SSL-XIoMT [8],primitive_calibrated_estimator,T_zk^g(|C_attr|),T_zk^g(|C_attr|),T_sym_enc + T_abe_enc + T_ecc_enc,T_zk^v,T_merk + T_hash,910.106,910.106,117.68327547799996,12.470571428571429,0.014329131475005853,1040.2741760380466,1040.2741760380466,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=T_zk^g(|C_attr|); encrypt=T_sym_enc + T_abe_enc + T_ecc_enc; proof_verify=T_zk^v; integrity=T_merk + T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
1,Scheme [30],primitive_calibrated_estimator,T_zk^g,O(T_pair + n*T_grp) / n,--,T_zk^v + O(T_pair + n*T_grp) / n,T_hash,125.71985714285715,37.37959745,0.0,49.850168878571424,0.004488789266666042,87.23425511783809,87.23425511783809,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=O(T_pair + n*T_grp) / n; encrypt=--; proof_verify=T_zk^v + O(T_pair + n*T_grp) / n; integrity=T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
1,SCAPE-ZK,primitive_calibrated_estimator,T_zk^g(|C_req|),(T_zk^g(|C_sess|) + n*T_zk^g(|C_req|)) / n,T_sym_enc + T_abe_enc,T_zk^v,T_merk* + T_hash^ell + T_pre^v,125.71985714285715,655.3635714285714,117.5712,12.470571428571429,0.07928365619167112,785.4846265133345,785.4846265133345,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=(T_zk^g(|C_sess|) + n*T_zk^g(|C_req|)) / n; encrypt=T_sym_enc + T_abe_enc; proof_verify=T_zk^v; integrity=T_merk* + T_hash^ell + T_pre^v,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
5,XAuth [6],primitive_calibrated_estimator,T_zk^g(|C_id|),T_zk^g(|C_id|),--,T_zk^v,T_merk + T_hash,125.71985714285715,125.71985714285715,0.0,12.470571428571429,0.014329131475005853,138.20475770290358,691.023788514518,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=T_zk^g(|C_id|); encrypt=--; proof_verify=T_zk^v; integrity=T_merk + T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
5,SSL-XIoMT [8],primitive_calibrated_estimator,T_zk^g(|C_attr|),T_zk^g(|C_attr|),T_sym_enc + T_abe_enc + T_ecc_enc,T_zk^v,T_merk + T_hash,910.106,910.106,117.68327547799996,12.470571428571429,0.014329131475005853,1040.2741760380466,5201.370880190233,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=T_zk^g(|C_attr|); encrypt=T_sym_enc + T_abe_enc + T_ecc_enc; proof_verify=T_zk^v; integrity=T_merk + T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
5,Scheme [30],primitive_calibrated_estimator,T_zk^g,O(T_pair + n*T_grp) / n,--,T_zk^v + O(T_pair + n*T_grp) / n,T_hash,125.71985714285715,11.83710145,0.0,24.30767287857143,0.004488789266666042,36.149263117838096,180.7463155891905,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=O(T_pair + n*T_grp) / n; encrypt=--; proof_verify=T_zk^v + O(T_pair + n*T_grp) / n; integrity=T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
5,SCAPE-ZK,primitive_calibrated_estimator,T_zk^g(|C_req|),(T_zk^g(|C_sess|) + n*T_zk^g(|C_req|)) / n,T_sym_enc + T_abe_enc,T_zk^v,T_merk* + T_hash^ell + T_pre^v,125.71985714285715,231.6486,117.5712,12.470571428571429,0.07928365619167112,361.76965508476303,1808.8482754238153,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=(T_zk^g(|C_sess|) + n*T_zk^g(|C_req|)) / n; encrypt=T_sym_enc + T_abe_enc; proof_verify=T_zk^v; integrity=T_merk* + T_hash^ell + T_pre^v,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
10,XAuth [6],primitive_calibrated_estimator,T_zk^g(|C_id|),T_zk^g(|C_id|),--,T_zk^v,T_merk + T_hash,125.71985714285715,125.71985714285715,0.0,12.470571428571429,0.014329131475005853,138.20475770290358,1382.047577029036,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=T_zk^g(|C_id|); encrypt=--; proof_verify=T_zk^v; integrity=T_merk + T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
10,SSL-XIoMT [8],primitive_calibrated_estimator,T_zk^g(|C_attr|),T_zk^g(|C_attr|),T_sym_enc + T_abe_enc + T_ecc_enc,T_zk^v,T_merk + T_hash,910.106,910.106,117.68327547799996,12.470571428571429,0.014329131475005853,1040.2741760380466,10402.741760380466,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=T_zk^g(|C_attr|); encrypt=T_sym_enc + T_abe_enc + T_ecc_enc; proof_verify=T_zk^v; integrity=T_merk + T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
10,Scheme [30],primitive_calibrated_estimator,T_zk^g,O(T_pair + n*T_grp) / n,--,T_zk^v + O(T_pair + n*T_grp) / n,T_hash,125.71985714285715,8.644289449999999,0.0,21.114860878571427,0.004488789266666042,29.763639117838093,297.6363911783809,paper/results/groth16_bench.csv; paper/results/cpabe_bench.csv; paper/results/bls_bench.csv; paper/results/pre_bench.csv; local hash/Merkle/ECC calibrations,amortized=O(T_pair + n*T_grp) / n; encrypt=--; proof_verify=T_zk^v + O(T_pair + n*T_grp) / n; integrity=T_hash,Table IV analytical/proxy estimator calibrated with local primitives; not a full-system baseline reimplementation.
